hr_medicao,cdg_stacao,chuva
2019-01-09 00:00:00.000000,A001,0
2019-01-09 01:00:00.000000,A001,0
2019-01-09 02:00:00.000000,A001,0
2019-01-09 03:00:00.000000,A001,0
2019-01-09 04:00:00.000000,A001,0
2019-01-09 05:00:00.000000,A001,0
2019-01-09 06:00:00.000000,A001,0
2019-01-09 07:00:00.000000,A001,0
2019-01-09 08:00:00.000000,A001,0
2019-01-09 09:00:00.000000,A001,0
2019-01-09 10:00:00.000000,A001,0
2019-01-09 11:00:00.000000,A001,0
2019-01-09 12:00:00.000000,A001,0
2019-01-09 13:00:00.000000,A001,0
2019-01-09 14:00:00.000000,A001,0
2019-01-09 15:00:00.000000,A001,0
2019-01-09 16:00:00.000000,A001,0
2019-01-09 17:00:00.000000,A001,0
2019-01-09 18:00:00.000000,A001,0
2019-01-09 19:00:00.000000,A001,0
2019-01-09 20:00:00.000000,A001,0
2019-01-09 21:00:00.000000,A001,0
2019-01-09 22:00:00.000000,A001,0
2019-01-09 23:00:00.000000,A001,0
2019-01-09 00:00:00.000000,A012,0
2019-01-09 01:00:00.000000,A012,0
2019-01-09 02:00:00.000000,A012,0
2019-01-09 03:00:00.000000,A012,0
2019-01-09 04:00:00.000000,A012,0
2019-01-09 05:00:00.000000,A012,0
2019-01-09 06:00:00.000000,A012,0
2019-01-09 07:00:00.000000,A012,0
2019-01-09 08:00:00.000000,A012,0
2019-01-09 09:00:00.000000,A012,0
2019-01-09 10:00:00.000000,A012,0
2019-01-09 11:00:00.000000,A012,0
2019-01-09 12:00:00.000000,A012,0
2019-01-09 13:00:00.000000,A012,0
2019-01-09 14:00:00.000000,A012,0
2019-01-09 15:00:00.000000,A012,0
2019-01-09 16:00:00.000000,A012,0
2019-01-09 17:00:00.000000,A012,0
2019-01-09 18:00:00.000000,A012,0
2019-01-09 19:00:00.000000,A012,0
2019-01-09 20:00:00.000000,A012,0
2019-01-09 21:00:00.000000,A012,0
2019-01-09 22:00:00.000000,A012,0
2019-01-09 23:00:00.000000,A012,0
2019-01-09 00:00:00.000000,A036,0
2019-01-09 01:00:00.000000,A036,0
2019-01-09 02:00:00.000000,A036,0
2019-01-09 03:00:00.000000,A036,0
2019-01-09 04:00:00.000000,A036,0
2019-01-09 05:00:00.000000,A036,0
2019-01-09 06:00:00.000000,A036,0
2019-01-09 07:00:00.000000,A036,0
2019-01-09 08:00:00.000000,A036,0
2019-01-09 09:00:00.000000,A036,0
2019-01-09 10:00:00.000000,A036,0
2019-01-09 11:00:00.000000,A036,0
2019-01-09 12:00:00.000000,A036,0
2019-01-09 13:00:00.000000,A036,0
2019-01-09 14:00:00.000000,A036,0
2019-01-09 15:00:00.000000,A036,0
2019-01-09 16:00:00.000000,A036,0
2019-01-09 17:00:00.000000,A036,0
2019-01-09 18:00:00.000000,A036,0
2019-01-09 19:00:00.000000,A036,0
2019-01-09 20:00:00.000000,A036,0
2019-01-09 21:00:00.000000,A036,0
2019-01-09 22:00:00.000000,A036,0
2019-01-09 23:00:00.000000,A036,0
2019-01-09 00:00:00.000000,A042,0
2019-01-09 01:00:00.000000,A042,0
2019-01-09 02:00:00.000000,A042,0
2019-01-09 03:00:00.000000,A042,0
2019-01-09 04:00:00.000000,A042,0
2019-01-09 05:00:00.000000,A042,0
2019-01-09 06:00:00.000000,A042,0
2019-01-09 07:00:00.000000,A042,0
2019-01-09 08:00:00.000000,A042,0
2019-01-09 09:00:00.000000,A042,0
2019-01-09 10:00:00.000000,A042,0
2019-01-09 11:00:00.000000,A042,0
2019-01-09 12:00:00.000000,A042,0
2019-01-09 13:00:00.000000,A042,0
2019-01-09 14:00:00.000000,A042,0
2019-01-09 15:00:00.000000,A042,0
2019-01-09 16:00:00.000000,A042,0
2019-01-09 17:00:00.000000,A042,0
2019-01-09 18:00:00.000000,A042,0
2019-01-09 19:00:00.000000,A042,0
2019-01-09 20:00:00.000000,A042,0
2019-01-09 21:00:00.000000,A042,0
2019-01-09 22:00:00.000000,A042,0
2019-01-09 23:00:00.000000,A042,0
2019-01-09 00:00:00.000000,A045,0
2019-01-09 01:00:00.000000,A045,0
2019-01-09 02:00:00.000000,A045,0
2019-01-09 03:00:00.000000,A045,0
2019-01-09 04:00:00.000000,A045,0
2019-01-09 05:00:00.000000,A045,0
2019-01-09 06:00:00.000000,A045,0
2019-01-09 07:00:00.000000,A045,0
2019-01-09 08:00:00.000000,A045,0
2019-01-09 09:00:00.000000,A045,0
2019-01-09 10:00:00.000000,A045,0
2019-01-09 11:00:00.000000,A045,0
2019-01-09 12:00:00.000000,A045,0
2019-01-09 13:00:00.000000,A045,0
2019-01-09 14:00:00.000000,A045,0
2019-01-09 15:00:00.000000,A045,0
2019-01-09 16:00:00.000000,A045,0
2019-01-09 17:00:00.000000,A045,0
2019-01-09 18:00:00.000000,A045,0
2019-01-09 19:00:00.000000,A045,0
2019-01-09 20:00:00.000000,A045,0
2019-01-09 21:00:00.000000,A045,0
2019-01-09 22:00:00.000000,A045,0
2019-01-09 23:00:00.000000,A045,0
2019-01-09 00:00:00.000000,A056,0
2019-01-09 01:00:00.000000,A056,0
2019-01-09 02:00:00.000000,A056,0
2019-01-09 03:00:00.000000,A056,0
2019-01-09 04:00:00.000000,A056,0
2019-01-09 05:00:00.000000,A056,0
2019-01-09 06:00:00.000000,A056,0
2019-01-09 07:00:00.000000,A056,0
2019-01-09 08:00:00.000000,A056,0
2019-01-09 09:00:00.000000,A056,0
2019-01-09 10:00:00.000000,A056,0
2019-01-09 11:00:00.000000,A056,0
2019-01-09 12:00:00.000000,A056,0
2019-01-09 13:00:00.000000,A056,0
2019-01-09 14:00:00.000000,A056,0
2019-01-09 15:00:00.000000,A056,0
2019-01-09 16:00:00.000000,A056,0
2019-01-09 17:00:00.000000,A056,0
2019-01-09 18:00:00.000000,A056,0
2019-01-09 19:00:00.000000,A056,0
2019-01-09 20:00:00.000000,A056,0
2019-01-09 21:00:00.000000,A056,0
2019-01-09 22:00:00.000000,A056,0
2019-01-09 23:00:00.000000,A056,0
2019-01-09 00:00:00.000000,A046,0
2019-01-09 01:00:00.000000,A046,0
2019-01-09 02:00:00.000000,A046,0
2019-01-09 03:00:00.000000,A046,0
2019-01-09 04:00:00.000000,A046,0
2019-01-09 05:00:00.000000,A046,0
2019-01-09 06:00:00.000000,A046,0
2019-01-09 07:00:00.000000,A046,0
2019-01-09 08:00:00.000000,A046,0
2019-01-09 09:00:00.000000,A046,0
2019-01-09 10:00:00.000000,A046,0
2019-01-09 11:00:00.000000,A046,0
2019-01-09 12:00:00.000000,A046,0
2019-01-09 13:00:00.000000,A046,0
2019-01-09 14:00:00.000000,A046,0
2019-01-09 15:00:00.000000,A046,0
2019-01-09 16:00:00.000000,A046,0
2019-01-09 17:00:00.000000,A046,0
2019-01-09 18:00:00.000000,A046,0
2019-01-09 19:00:00.000000,A046,0
2019-01-09 20:00:00.000000,A046,0
2019-01-09 21:00:00.000000,A046,0
2019-01-09 22:00:00.000000,A046,0
2019-01-09 23:00:00.000000,A046,0
2019-01-09 00:00:00.000000,A047,0
2019-01-09 01:00:00.000000,A047,0
2019-01-09 02:00:00.000000,A047,0
2019-01-09 03:00:00.000000,A047,0
2019-01-09 04:00:00.000000,A047,0
2019-01-09 05:00:00.000000,A047,0
2019-01-09 06:00:00.000000,A047,0
2019-01-09 07:00:00.000000,A047,0
2019-01-09 08:00:00.000000,A047,0
2019-01-09 09:00:00.000000,A047,0
2019-01-09 10:00:00.000000,A047,0
2019-01-09 11:00:00.000000,A047,0
2019-01-09 12:00:00.000000,A047,0
2019-01-09 13:00:00.000000,A047,0
2019-01-09 14:00:00.000000,A047,0
2019-01-09 15:00:00.000000,A047,0
2019-01-09 16:00:00.000000,A047,0
2019-01-09 17:00:00.000000,A047,0
2019-01-09 18:00:00.000000,A047,0
2019-01-09 19:00:00.000000,A047,0
2019-01-09 20:00:00.000000,A047,0
2019-01-09 21:00:00.000000,A047,0
2019-01-09 22:00:00.000000,A047,0
2019-01-09 23:00:00.000000,A047,0
