hr_medicao,cdg_stacao,umidade
2019-01-09 00:00:00.000000,A001,65
2019-01-09 01:00:00.000000,A001,70
2019-01-09 02:00:00.000000,A001,72
2019-01-09 03:00:00.000000,A001,70
2019-01-09 04:00:00.000000,A001,74
2019-01-09 05:00:00.000000,A001,77
2019-01-09 06:00:00.000000,A001,76
2019-01-09 07:00:00.000000,A001,78
2019-01-09 08:00:00.000000,A001,80
2019-01-09 09:00:00.000000,A001,80
2019-01-09 10:00:00.000000,A001,72
2019-01-09 11:00:00.000000,A001,63
2019-01-09 12:00:00.000000,A001,63
2019-01-09 13:00:00.000000,A001,56
2019-01-09 14:00:00.000000,A001,56
2019-01-09 15:00:00.000000,A001,49
2019-01-09 16:00:00.000000,A001,43
2019-01-09 17:00:00.000000,A001,45
2019-01-09 18:00:00.000000,A001,45
2019-01-09 19:00:00.000000,A001,42
2019-01-09 20:00:00.000000,A001,41
2019-01-09 21:00:00.000000,A001,40
2019-01-09 22:00:00.000000,A001,45
2019-01-09 23:00:00.000000,A001,54
2019-01-09 00:00:00.000000,A012,69
2019-01-09 01:00:00.000000,A012,70
2019-01-09 02:00:00.000000,A012,71
2019-01-09 03:00:00.000000,A012,74
2019-01-09 04:00:00.000000,A012,77
2019-01-09 05:00:00.000000,A012,76
2019-01-09 06:00:00.000000,A012,80
2019-01-09 07:00:00.000000,A012,80
2019-01-09 08:00:00.000000,A012,82
2019-01-09 09:00:00.000000,A012,83
2019-01-09 10:00:00.000000,A012,79
2019-01-09 11:00:00.000000,A012,68
2019-01-09 12:00:00.000000,A012,61
2019-01-09 13:00:00.000000,A012,59
2019-01-09 14:00:00.000000,A012,53
2019-01-09 15:00:00.000000,A012,45
2019-01-09 16:00:00.000000,A012,49
2019-01-09 17:00:00.000000,A012,40
2019-01-09 18:00:00.000000,A012,42
2019-01-09 19:00:00.000000,A012,36
2019-01-09 20:00:00.000000,A012,39
2019-01-09 21:00:00.000000,A012,42
2019-01-09 22:00:00.000000,A012,53
2019-01-09 23:00:00.000000,A012,53
2019-01-09 00:00:00.000000,A036,77
2019-01-09 01:00:00.000000,A036,79
2019-01-09 02:00:00.000000,A036,78
2019-01-09 03:00:00.000000,A036,78
2019-01-09 04:00:00.000000,A036,78
2019-01-09 05:00:00.000000,A036,78
2019-01-09 06:00:00.000000,A036,78
2019-01-09 07:00:00.000000,A036,76
2019-01-09 08:00:00.000000,A036,77
2019-01-09 09:00:00.000000,A036,76
2019-01-09 10:00:00.000000,A036,72
2019-01-09 11:00:00.000000,A036,71
2019-01-09 12:00:00.000000,A036,72
2019-01-09 13:00:00.000000,A036,68
2019-01-09 14:00:00.000000,A036,62
2019-01-09 15:00:00.000000,A036,59
2019-01-09 16:00:00.000000,A036,49
2019-01-09 17:00:00.000000,A036,39
2019-01-09 18:00:00.000000,A036,46
2019-01-09 19:00:00.000000,A036,43
2019-01-09 20:00:00.000000,A036,49
2019-01-09 21:00:00.000000,A036,42
2019-01-09 22:00:00.000000,A036,55
2019-01-09 23:00:00.000000,A036,64
2019-01-09 00:00:00.000000,A042,71
2019-01-09 01:00:00.000000,A042,75
2019-01-09 02:00:00.000000,A042,84
2019-01-09 03:00:00.000000,A042,83
2019-01-09 04:00:00.000000,A042,83
2019-01-09 05:00:00.000000,A042,85
2019-01-09 06:00:00.000000,A042,85
2019-01-09 07:00:00.000000,A042,85
2019-01-09 08:00:00.000000,A042,89
2019-01-09 09:00:00.000000,A042,91
2019-01-09 10:00:00.000000,A042,82
2019-01-09 11:00:00.000000,A042,66
2019-01-09 12:00:00.000000,A042,61
2019-01-09 13:00:00.000000,A042,57
2019-01-09 14:00:00.000000,A042,55
2019-01-09 15:00:00.000000,A042,56
2019-01-09 16:00:00.000000,A042,51
2019-01-09 17:00:00.000000,A042,51
2019-01-09 18:00:00.000000,A042,47
2019-01-09 19:00:00.000000,A042,47
2019-01-09 20:00:00.000000,A042,48
2019-01-09 21:00:00.000000,A042,37
2019-01-09 22:00:00.000000,A042,49
2019-01-09 23:00:00.000000,A042,57
2019-01-09 00:00:00.000000,A045,80
2019-01-09 01:00:00.000000,A045,83
2019-01-09 02:00:00.000000,A045,83
2019-01-09 03:00:00.000000,A045,86
2019-01-09 04:00:00.000000,A045,88
2019-01-09 05:00:00.000000,A045,92
2019-01-09 06:00:00.000000,A045,93
2019-01-09 07:00:00.000000,A045,93
2019-01-09 08:00:00.000000,A045,94
2019-01-09 09:00:00.000000,A045,94
2019-01-09 10:00:00.000000,A045,77
2019-01-09 11:00:00.000000,A045,63
2019-01-09 12:00:00.000000,A045,59
2019-01-09 13:00:00.000000,A045,54
2019-01-09 14:00:00.000000,A045,54
2019-01-09 15:00:00.000000,A045,47
2019-01-09 16:00:00.000000,A045,43
2019-01-09 17:00:00.000000,A045,41
2019-01-09 18:00:00.000000,A045,39
2019-01-09 19:00:00.000000,A045,43
2019-01-09 20:00:00.000000,A045,41
2019-01-09 21:00:00.000000,A045,47
2019-01-09 22:00:00.000000,A045,57
2019-01-09 23:00:00.000000,A045,69
2019-01-09 00:00:00.000000,A056,88
2019-01-09 01:00:00.000000,A056,91
2019-01-09 02:00:00.000000,A056,91
2019-01-09 03:00:00.000000,A056,92
2019-01-09 04:00:00.000000,A056,92
2019-01-09 05:00:00.000000,A056,92
2019-01-09 06:00:00.000000,A056,91
2019-01-09 07:00:00.000000,A056,92
2019-01-09 08:00:00.000000,A056,95
2019-01-09 09:00:00.000000,A056,97
2019-01-09 10:00:00.000000,A056,90
2019-01-09 11:00:00.000000,A056,84
2019-01-09 12:00:00.000000,A056,73
2019-01-09 13:00:00.000000,A056,71
2019-01-09 14:00:00.000000,A056,66
2019-01-09 15:00:00.000000,A056,58
2019-01-09 16:00:00.000000,A056,55
2019-01-09 17:00:00.000000,A056,49
2019-01-09 18:00:00.000000,A056,43
2019-01-09 19:00:00.000000,A056,42
2019-01-09 20:00:00.000000,A056,49
2019-01-09 21:00:00.000000,A056,52
2019-01-09 22:00:00.000000,A056,71
2019-01-09 23:00:00.000000,A056,78
2019-01-09 00:00:00.000000,A046,64
2019-01-09 01:00:00.000000,A046,67
2019-01-09 02:00:00.000000,A046,74
2019-01-09 03:00:00.000000,A046,82
2019-01-09 04:00:00.000000,A046,85
2019-01-09 05:00:00.000000,A046,81
2019-01-09 06:00:00.000000,A046,79
2019-01-09 07:00:00.000000,A046,89
2019-01-09 08:00:00.000000,A046,91
2019-01-09 09:00:00.000000,A046,91
2019-01-09 10:00:00.000000,A046,73
2019-01-09 11:00:00.000000,A046,61
2019-01-09 12:00:00.000000,A046,56
2019-01-09 13:00:00.000000,A046,52
2019-01-09 14:00:00.000000,A046,44
2019-01-09 15:00:00.000000,A046,41
2019-01-09 16:00:00.000000,A046,36
2019-01-09 17:00:00.000000,A046,31
2019-01-09 18:00:00.000000,A046,37
2019-01-09 19:00:00.000000,A046,34
2019-01-09 20:00:00.000000,A046,37
2019-01-09 21:00:00.000000,A046,44
2019-01-09 22:00:00.000000,A046,50
2019-01-09 23:00:00.000000,A046,56
2019-01-09 00:00:00.000000,A047,81
2019-01-09 01:00:00.000000,A047,83
2019-01-09 02:00:00.000000,A047,84
2019-01-09 03:00:00.000000,A047,82
2019-01-09 04:00:00.000000,A047,84
2019-01-09 05:00:00.000000,A047,89
2019-01-09 06:00:00.000000,A047,90
2019-01-09 07:00:00.000000,A047,92
2019-01-09 08:00:00.000000,A047,90
2019-01-09 09:00:00.000000,A047,87
2019-01-09 10:00:00.000000,A047,79
2019-01-09 11:00:00.000000,A047,78
2019-01-09 12:00:00.000000,A047,73
2019-01-09 13:00:00.000000,A047,66
2019-01-09 14:00:00.000000,A047,56
2019-01-09 15:00:00.000000,A047,53
2019-01-09 16:00:00.000000,A047,50
2019-01-09 17:00:00.000000,A047,46
2019-01-09 18:00:00.000000,A047,43
2019-01-09 19:00:00.000000,A047,42
2019-01-09 20:00:00.000000,A047,45
2019-01-09 21:00:00.000000,A047,57
2019-01-09 22:00:00.000000,A047,60
2019-01-09 23:00:00.000000,A047,67
