hr_medicao,cdg_stacao,vento_velocidade
2019-01-09 00:00:00.000000,A001,3.8
2019-01-09 01:00:00.000000,A001,3.5
2019-01-09 02:00:00.000000,A001,2.4
2019-01-09 03:00:00.000000,A001,2.7
2019-01-09 04:00:00.000000,A001,2
2019-01-09 05:00:00.000000,A001,1.4
2019-01-09 06:00:00.000000,A001,1.3
2019-01-09 07:00:00.000000,A001,1.3
2019-01-09 08:00:00.000000,A001,1.1
2019-01-09 09:00:00.000000,A001,2
2019-01-09 10:00:00.000000,A001,2.3
2019-01-09 11:00:00.000000,A001,5
2019-01-09 12:00:00.000000,A001,5.6
2019-01-09 13:00:00.000000,A001,6.6
2019-01-09 14:00:00.000000,A001,5
2019-01-09 15:00:00.000000,A001,3.7
2019-01-09 16:00:00.000000,A001,3.7
2019-01-09 17:00:00.000000,A001,3.2
2019-01-09 18:00:00.000000,A001,2.8
2019-01-09 19:00:00.000000,A001,2.9
2019-01-09 20:00:00.000000,A001,3.7
2019-01-09 21:00:00.000000,A001,4.1
2019-01-09 22:00:00.000000,A001,4
2019-01-09 23:00:00.000000,A001,3
2019-01-09 00:00:00.000000,A012,2.4
2019-01-09 01:00:00.000000,A012,3.8
2019-01-09 02:00:00.000000,A012,2.9
2019-01-09 03:00:00.000000,A012,2.5
2019-01-09 04:00:00.000000,A012,1.8
2019-01-09 05:00:00.000000,A012,2.9
2019-01-09 06:00:00.000000,A012,1.5
2019-01-09 07:00:00.000000,A012,1.1
2019-01-09 08:00:00.000000,A012,1.7
2019-01-09 09:00:00.000000,A012,1.9
2019-01-09 10:00:00.000000,A012,3.2
2019-01-09 11:00:00.000000,A012,4.4
2019-01-09 12:00:00.000000,A012,6.3
2019-01-09 13:00:00.000000,A012,6
2019-01-09 14:00:00.000000,A012,5.5
2019-01-09 15:00:00.000000,A012,4.6
2019-01-09 16:00:00.000000,A012,4.8
2019-01-09 17:00:00.000000,A012,3.7
2019-01-09 18:00:00.000000,A012,3.9
2019-01-09 19:00:00.000000,A012,4.6
2019-01-09 20:00:00.000000,A012,5
2019-01-09 21:00:00.000000,A012,3.9
2019-01-09 22:00:00.000000,A012,3.1
2019-01-09 23:00:00.000000,A012,3.5
2019-01-09 00:00:00.000000,A036,0
2019-01-09 01:00:00.000000,A036,0
2019-01-09 02:00:00.000000,A036,0
2019-01-09 03:00:00.000000,A036,0
2019-01-09 04:00:00.000000,A036,0
2019-01-09 05:00:00.000000,A036,0
2019-01-09 06:00:00.000000,A036,0
2019-01-09 07:00:00.000000,A036,0
2019-01-09 08:00:00.000000,A036,0
2019-01-09 09:00:00.000000,A036,0
2019-01-09 10:00:00.000000,A036,0
2019-01-09 11:00:00.000000,A036,0
2019-01-09 12:00:00.000000,A036,0
2019-01-09 13:00:00.000000,A036,0
2019-01-09 14:00:00.000000,A036,0
2019-01-09 15:00:00.000000,A036,0
2019-01-09 16:00:00.000000,A036,0
2019-01-09 17:00:00.000000,A036,0
2019-01-09 18:00:00.000000,A036,0
2019-01-09 19:00:00.000000,A036,0
2019-01-09 20:00:00.000000,A036,0
2019-01-09 21:00:00.000000,A036,0
2019-01-09 22:00:00.000000,A036,0
2019-01-09 23:00:00.000000,A036,0
2019-01-09 00:00:00.000000,A042,2.3
2019-01-09 01:00:00.000000,A042,2.4
2019-01-09 02:00:00.000000,A042,0.7
2019-01-09 03:00:00.000000,A042,0.3
2019-01-09 04:00:00.000000,A042,0.7
2019-01-09 05:00:00.000000,A042,1.1
2019-01-09 06:00:00.000000,A042,2
2019-01-09 07:00:00.000000,A042,0.4
2019-01-09 08:00:00.000000,A042,0.1
2019-01-09 09:00:00.000000,A042,2
2019-01-09 10:00:00.000000,A042,2.5
2019-01-09 11:00:00.000000,A042,4.1
2019-01-09 12:00:00.000000,A042,7.8
2019-01-09 13:00:00.000000,A042,6.4
2019-01-09 14:00:00.000000,A042,4.5
2019-01-09 15:00:00.000000,A042,4.1
2019-01-09 16:00:00.000000,A042,4.1
2019-01-09 17:00:00.000000,A042,3.3
2019-01-09 18:00:00.000000,A042,1.9
2019-01-09 19:00:00.000000,A042,2.2
2019-01-09 20:00:00.000000,A042,2.4
2019-01-09 21:00:00.000000,A042,3
2019-01-09 22:00:00.000000,A042,2.5
2019-01-09 23:00:00.000000,A042,2.2
2019-01-09 00:00:00.000000,A045,2
2019-01-09 01:00:00.000000,A045,1.6
2019-01-09 02:00:00.000000,A045,2
2019-01-09 03:00:00.000000,A045,1.9
2019-01-09 04:00:00.000000,A045,1.1
2019-01-09 05:00:00.000000,A045,1
2019-01-09 06:00:00.000000,A045,0.2
2019-01-09 07:00:00.000000,A045,0.7
2019-01-09 08:00:00.000000,A045,0.5
2019-01-09 09:00:00.000000,A045,1.5
2019-01-09 10:00:00.000000,A045,1.5
2019-01-09 11:00:00.000000,A045,4.5
2019-01-09 12:00:00.000000,A045,3.8
2019-01-09 13:00:00.000000,A045,4.3
2019-01-09 14:00:00.000000,A045,3.6
2019-01-09 15:00:00.000000,A045,3.6
2019-01-09 16:00:00.000000,A045,3.5
2019-01-09 17:00:00.000000,A045,2.5
2019-01-09 18:00:00.000000,A045,3.2
2019-01-09 19:00:00.000000,A045,2.2
2019-01-09 20:00:00.000000,A045,2.8
2019-01-09 21:00:00.000000,A045,2.5
2019-01-09 22:00:00.000000,A045,2.3
2019-01-09 23:00:00.000000,A045,1.8
2019-01-09 00:00:00.000000,A056,3.2
2019-01-09 01:00:00.000000,A056,2.7
2019-01-09 02:00:00.000000,A056,2.4
2019-01-09 03:00:00.000000,A056,2.6
2019-01-09 04:00:00.000000,A056,2
2019-01-09 05:00:00.000000,A056,2.7
2019-01-09 06:00:00.000000,A056,0.2
2019-01-09 07:00:00.000000,A056,0.3
2019-01-09 08:00:00.000000,A056,0.4
2019-01-09 09:00:00.000000,A056,2.5
2019-01-09 10:00:00.000000,A056,1.4
2019-01-09 11:00:00.000000,A056,2.4
2019-01-09 12:00:00.000000,A056,4
2019-01-09 13:00:00.000000,A056,5.3
2019-01-09 14:00:00.000000,A056,5.7
2019-01-09 15:00:00.000000,A056,4
2019-01-09 16:00:00.000000,A056,3.5
2019-01-09 17:00:00.000000,A056,2.7
2019-01-09 18:00:00.000000,A056,2.8
2019-01-09 19:00:00.000000,A056,2.4
2019-01-09 20:00:00.000000,A056,2.2
2019-01-09 21:00:00.000000,A056,1.6
2019-01-09 22:00:00.000000,A056,0.6
2019-01-09 23:00:00.000000,A056,0.5
2019-01-09 00:00:00.000000,A046,3.7
2019-01-09 01:00:00.000000,A046,4
2019-01-09 02:00:00.000000,A046,1.9
2019-01-09 03:00:00.000000,A046,0.6
2019-01-09 04:00:00.000000,A046,0.8
2019-01-09 05:00:00.000000,A046,2.7
2019-01-09 06:00:00.000000,A046,1.7
2019-01-09 07:00:00.000000,A046,0.1
2019-01-09 08:00:00.000000,A046,1.4
2019-01-09 09:00:00.000000,A046,0.8
2019-01-09 10:00:00.000000,A046,2.7
2019-01-09 11:00:00.000000,A046,3.6
2019-01-09 12:00:00.000000,A046,7.7
2019-01-09 13:00:00.000000,A046,3.9
2019-01-09 14:00:00.000000,A046,4.5
2019-01-09 15:00:00.000000,A046,4.8
2019-01-09 16:00:00.000000,A046,4.5
2019-01-09 17:00:00.000000,A046,4.6
2019-01-09 18:00:00.000000,A046,3.4
2019-01-09 19:00:00.000000,A046,4.2
2019-01-09 20:00:00.000000,A046,4.9
2019-01-09 21:00:00.000000,A046,3.7
2019-01-09 22:00:00.000000,A046,2.7
2019-01-09 23:00:00.000000,A046,3.3
2019-01-09 00:00:00.000000,A047,1.7
2019-01-09 01:00:00.000000,A047,1.2
2019-01-09 02:00:00.000000,A047,1.5
2019-01-09 03:00:00.000000,A047,1.8
2019-01-09 04:00:00.000000,A047,1.2
2019-01-09 05:00:00.000000,A047,0.8
2019-01-09 06:00:00.000000,A047,0.7
2019-01-09 07:00:00.000000,A047,0.4
2019-01-09 08:00:00.000000,A047,0.7
2019-01-09 09:00:00.000000,A047,1.1
2019-01-09 10:00:00.000000,A047,2.6
2019-01-09 11:00:00.000000,A047,4
2019-01-09 12:00:00.000000,A047,5.5
2019-01-09 13:00:00.000000,A047,4.7
2019-01-09 14:00:00.000000,A047,4.6
2019-01-09 15:00:00.000000,A047,4.2
2019-01-09 16:00:00.000000,A047,4
2019-01-09 17:00:00.000000,A047,4.3
2019-01-09 18:00:00.000000,A047,4.4
2019-01-09 19:00:00.000000,A047,4.9
2019-01-09 20:00:00.000000,A047,4.6
2019-01-09 21:00:00.000000,A047,3.7
2019-01-09 22:00:00.000000,A047,2.2
2019-01-09 23:00:00.000000,A047,1.6
